# Translation Updates - Comprehensive List
# This file contains all new translation keys needed across the application
# Format: key|en|ru|uz

# Authentication Pages
auth.forgotPassword|Forgot Password|Забыли пароль|Parolni unutdingizmi
auth.forgotPasswordDesc|Enter the email address associated with your account and we will send you a link to reset your password|Введите адрес электронной почты, связанный с вашей учетной записью, и мы отправим вам ссылку для сброса пароля|Hisobingiz bilan bog'langan elektron pochta manzilini kiriting va biz sizga parolni tiklash havolasini yuboramiz
auth.enterEmail|Enter Email|Введите Email|Emailni kiriting
auth.sendResetLink|Send Reset Link|Отправить ссылку|Havola yuborish
auth.backToSignIn|Back to Sign In|Назад к входу|Kirishga qaytish

# Orders - General
orders.orderId|Order ID|ID заказа|Buyurtma ID
orders.customer|Customer|Клиент|Mijoz
orders.product|Product|Товар|Mahsulot
orders.pages|Pages|Страниц|Sahifalar
orders.status|Status|Статус|Holat
orders.price|Price|Цена|Narx
orders.totalPrice|Total Price|Общая цена|Umumiy narx
orders.received|Received|Получено|Qabul qilindi
orders.remaining|Remaining|Осталось|Qoldiq
orders.orderNumber|Order Number|Номер заказа|Buyurtma raqami
orders.documents|Documents|Документы|Hujjatlar
orders.assignedTo|Assigned To|Назначен|Tayinlangan
orders.notAssigned|Not Assigned|Не назначен|Tayinlanmagan
orders.assignedBy|Assigned By|Назначил|Kim tayinladi
orders.paymentReceived|Payment Received|Платеж получен|To'lov qabul qilindi
orders.paymentReceivedBy|Payment Received By|Платеж принят|To'lovni qabul qildi
orders.paymentReceivedAt|Payment Received At|Платеж получен|To'lov qabul qilindi
orders.clientName|Client Name|Имя клиента|Mijoz ismi
orders.phoneNumber|Phone Number|Номер телефона|Telefon raqami
orders.totalAmount|Total Amount|Общая сумма|Umumiy summa
orders.extraFee|Extra Fee|Дополнительная плата|Qo'shimcha to'lov
orders.extraFeeDesc|Extra Fee Description|Описание допплаты|Qo'shimcha to'lov tavsifi
orders.copyNumber|Number of Copies|Количество копий|Nusxalar soni
orders.additionalCopies|Additional copies needed (0 means only original)|Требуются дополнительные копии (0 означает только оригинал)|Qo'shimcha nusxalar kerak (0 faqat asl nusxani bildiradi)
orders.translationLanguage|Translation Language|Язык перевода|Tarjima tili
orders.description|Description|Описание|Tavsif

# Orders - Status Labels
status.pending|Pending|Ожидание|Kutilmoqda
status.paymentPending|Awaiting|Ожидание оплаты|To'lov kutilmoqda
status.paymentReceived|Received|Получено|Qabul qilindi
status.paymentConfirmed|Confirmed|Подтверждено|Tasdiqlandi
status.inProgress|In Process|В процессе|Jarayonda
status.ready|Ready|Готово|Tayyor
status.completed|Done|Выполнено|Bajarildi
status.cancelled|Cancelled|Отменено|Bekor qilindi

# Orders - Actions
actions.view|View|Просмотр|Ko'rish
actions.edit|Edit|Редактировать|Tahrirlash
actions.delete|Delete|Удалить|O'chirish
actions.assign|Assign|Назначить|Tayinlash
actions.confirmPayment|Confirm Payment|Подтвердить оплату|To'lovni tasdiqlash
actions.recordPayment|Record Payment|Записать оплату|To'lovni yozish
actions.updateStatus|Update Status|Обновить статус|Holatni yangilash
actions.downloadReceipt|Download Receipt|Скачать квитанцию|Kvitansiyani yuklash
actions.viewDetails|View Details|Просмотр деталей|Tafsilotlarni ko'rish
actions.cancel|Cancel|Отмена|Bekor qilish
actions.save|Save|Сохранить|Saqlash
actions.update|Update|Обновить|Yangilash
actions.upload|Upload|Загрузить|Yuklash
actions.download|Download|Скачать|Yuklab olish
actions.print|Print|Печать|Chop etish
actions.export|Export|Экспорт|Eksport
actions.filter|Filter|Фильтр|Filtr
actions.search|Search|Поиск|Qidirish
actions.reset|Reset|Сбросить|Qayta tiklash
actions.apply|Apply|Применить|Qo'llash
actions.submit|Submit|Отправить|Yuborish
actions.close|Close|Закрыть|Yopish
actions.confirm|Confirm|Подтвердить|Tasdiqlash
actions.back|Back|Назад|Orqaga

# Orders - Filters
filter.all|All|Все|Hammasi
filter.status|Status|Статус|Holat
filter.paymentStatus|Payment Status|Статус оплаты|To'lov holati
filter.assignmentStatus|Assignment Status|Статус назначения|Tayinlash holati
filter.search|Search|Поиск|Qidirish
filter.searchPlaceholder|Search by order ID, customer name, phone|Поиск по номеру, имени, телефону|Raqam, ism, telefon bo'yicha qidirish
filter.perPage|Per Page|На странице|Sahifada
filter.branch|Branch|Филиал|Filial
filter.center|Center|Центр|Markaz
filter.staff|Staff Member|Сотрудник|Xodim
filter.dateFrom|From Date|С даты|Sana dan
filter.dateTo|To Date|До даты|Sana gacha
filter.period|Period|Период|Davr
filter.today|Today|Сегодня|Bugun
filter.thisWeek|This Week|Эта неделя|Bu hafta
filter.thisMonth|This Month|Этот месяц|Bu oy
filter.thisYear|This Year|Этот год|Bu yil
filter.custom|Custom Range|Пользовательский период|Maxsus davr
filter.allPaymentMethods|All Payment Methods|Все способы оплаты|Barcha to'lov usullari
filter.allCustomers|All Customers|Все клиенты|Barcha mijozlar

# Payment Types
payment.cash|Cash|Наличные|Naqd
payment.card|Card|Карта|Karta
payment.bankTransfer|Bank Transfer|Банковский перевод|Bank o'tkazmasi
payment.other|Other|Другое|Boshqa
payment.paymentMethod|Payment Method|Способ оплаты|To'lov usuli
payment.paymentType|Payment Type|Тип оплаты|To'lov turi
payment.paymentAmount|Payment Amount|Сумма оплаты|To'lov summasi
payment.paymentDate|Payment Date|Дата оплаты|To'lov sanasi
payment.paymentDetails|Payment Details|Детали оплаты|To'lov tafsilotlari
payment.paymentHistory|Payment History|История платежей|To'lovlar tarixi
payment.receiptNote|Receipt/Note|Квитанция/Примечание|Kvitansiya/Izoh
payment.uploadReceipt|Upload Receipt|Загрузить квитанцию|Kvitansiyani yuklash
payment.noReceiptUploaded|No receipt uploaded|Квитанция не загружена|Kvitansiya yuklanmagan
payment.processPayment|Process Payment|Обработать платеж|To'lovni qayta ishlash
payment.newPayment|New Payment|Новый платеж|Yangi to'lov
payment.bulkPayment|Bulk Payment|Массовый платеж|Ommaviy to'lov
payment.paidAmount|Paid Amount|Оплаченная сумма|To'langan summa
payment.fully|Fully|Полностью|To'liq
payment.partial|Partial|Частично|Qisman
payment.unpaid|Unpaid|Неоплачено|To'lanmagan
payment.fullyPaid|Fully Paid|Полностью оплачено|To'liq to'langan
payment.partiallyPaid|Partially Paid|Частично оплачено|Qisman to'langan
payment.pendingPayment|Pending Payment|Ожидание оплаты|To'lov kutilmoqda
payment.acceptPayment|Accept Payment Fully|Принять оплату полностью|To'lovni to'liq qabul qilish

# Customer Types
customer.agency|Agency (B2B)|Агентство (B2B)|Agentlik (B2B)
customer.individual|Individual (B2C)|Физлицо (B2C)|Jismoniy shaxs (B2C)
customer.type|Customer Type|Тип клиента|Mijoz turi
customer.name|Customer Name|Имя клиента|Mijoz ismi
customer.phone|Phone|Телефон|Telefon
customer.email|Email|Email|Email

# Statistics
stats.total|Total|Всего|Jami
stats.totalPayments|Total Payments|Всего платежей|Jami to'lovlar
stats.totalAmount|Total Amount|Общая сумма|Umumiy summa
stats.totalOrders|Total Orders|Всего заказов|Jami buyurtmalar
stats.ordersPaid|Orders Paid|Оплачено заказов|To'langan buyurtmalar
stats.fullyPaid|fully paid|полностью оплачено|to'liq to'langan
stats.uniqueCustomers|Unique Customers|Уникальных клиентов|Noyob mijozlar
stats.customersServed|customers served|клиентов обслужено|mijozlarga xizmat ko'rsatildi
stats.transactionsProcessed|transactions processed|транзакций обработано|tranzaksiyalar qayta ishlandi
stats.avgPayment|avg payment|средний платеж|o'rtacha to'lov
